count,base_pos,outs_when_up,n,xR_vs_xR28,xR,xR28
3-0,010,1,231,0.267,0.9177489177489178,0.6511269774604508
3-0,010,2,364,0.088,0.3901098901098901,0.30235492010092513
3-0,011,0,74,0.8,2.364864864864865,1.5644084647067178
3-0,011,1,118,0.636,1.5847457627118644,0.9484978540772532
3-0,011,2,178,0.3,0.7247191011235955,0.4250189825360668
3-0,100,0,23,-0.087,1.2608695652173914,1.3476044852191642
3-0,100,1,62,0.07,0.967741935483871,0.8973080757726819
3-0,100,2,129,0.186,0.5038759689922481,0.3179214974158402
3-0,101,0,33,-0.231,1.5757575757575757,1.8062738448495126
3-0,101,1,65,0.628,1.7846153846153847,1.1569259962049336
3-0,101,2,80,0.211,0.6375,0.42601669095244404
3-0,110,0,30,0.47,2.433333333333333,1.9629408248655111
3-0,110,1,108,0.062,1.3888888888888888,1.3271073973949374
3-0,110,2,119,0.06,0.5882352941176471,0.5283437563042163
3-0,111,0,24,0.104,2.4583333333333335,2.3546062789500772
3-0,111,1,31,0.722,2.2580645161290325,1.5363128491620113
3-0,111,2,63,0.355,1.126984126984127,0.7720614505180422
3-1,000,0,2575,0.201,0.6904854368932039,0.489599211664896
3-1,000,1,1965,0.143,0.4030534351145038,0.2598318080633193
3-1,000,2,1678,0.063,0.1632896305125149,0.09991362666395691
3-1,001,0,570,0.321,1.2017543859649122,0.8809287486706842
3-1,001,1,720,0.22,0.7305555555555555,0.5105521989602361
3-1,001,2,700,0.112,0.32142857142857145,0.20980799737432307
3-1,010,0,234,0.388,1.5299145299145298,1.1419541461324192
3-1,010,1,388,0.135,0.7860824742268041,0.6511269774604508
3-1,010,2,485,0.069,0.3711340206185567,0.30235492010092513
3-1,011,0,132,0.398,1.9621212121212122,1.5644084647067178
3-1,011,1,238,0.329,1.2773109243697478,0.9484978540772532
3-1,011,2,349,0.26,0.6848137535816619,0.4250189825360668
3-1,100,0,40,0.327,1.675,1.3476044852191642
3-1,100,1,102,0.132,1.0294117647058822,0.8973080757726819
3-1,100,2,186,0.091,0.40860215053763443,0.3179214974158402
3-1,101,0,42,0.194,2,1.8062738448495126
3-1,101,1,90,0.288,1.4444444444444444,1.1569259962049336
3-1,101,2,166,0.194,0.6204819277108434,0.42601669095244404
3-1,110,0,40,0.462,2.425,1.9629408248655111
3-1,110,1,109,0.077,1.4036697247706422,1.3271073973949374
3-1,110,2,137,-0.01,0.5182481751824818,0.5283437563042163
3-1,111,0,42,0.55,2.9047619047619047,2.3546062789500772
3-1,111,1,76,0.148,1.6842105263157894,1.5363128491620113
3-1,111,2,112,0.344,1.1160714285714286,0.7720614505180422
3-2,000,0,6569,0.074,0.5640127873344497,0.489599211664896
3-2,000,1,5040,0.046,0.3053571428571429,0.2598318080633193
3-2,000,2,4228,0.028,0.12771996215704826,0.09991362666395691
3-2,001,0,1153,0.16,1.0407632263660018,0.8809287486706842
3-2,001,1,1517,0.089,0.5992089650626236,0.5105521989602361
3-2,001,2,1577,0.017,0.2270133164235891,0.20980799737432307
3-2,010,0,540,0.065,1.2074074074074075,1.1419541461324192
3-2,010,1,906,0.106,0.7571743929359823,0.6511269774604508
3-2,010,2,1201,-0.008,0.29475437135720234,0.30235492010092513
3-2,011,0,295,0.303,1.8677966101694916,1.5644084647067178
3-2,011,1,577,0.095,1.0433275563258233,0.9484978540772532
3-2,011,2,777,0.087,0.5122265122265123,0.4250189825360668
3-2,100,0,77,-0.075,1.2727272727272727,1.3476044852191642
3-2,100,1,246,0.013,0.9105691056910569,0.8973080757726819
3-2,100,2,419,-0.003,0.315035799522673,0.3179214974158402
3-2,101,0,102,0.066,1.8725490196078431,1.8062738448495126
3-2,101,1,202,-0.266,0.8910891089108911,1.1569259962049336
3-2,101,2,318,0.09,0.5157232704402516,0.42601669095244404
3-2,110,0,103,0.115,2.0776699029126213,1.9629408248655111
3-2,110,1,237,0.158,1.4852320675105486,1.3271073973949374
3-2,110,2,367,-0.081,0.44686648501362397,0.5283437563042163
3-2,111,0,59,-0.033,2.3220338983050848,2.3546062789500772
3-2,111,1,183,0.037,1.5737704918032787,1.5363128491620113
3-2,111,2,276,0.137,0.9094202898550725,0.7720614505180422
